"arms";"jacc";"turn";"nest";"bray"
"1";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,633388083204917
"2";"CINA1";0,53125;0,516129032258065;0,0151209677419355;0,637887
"3";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,334816322171678
"4";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,633388083204917
"5";"CINA1";0,53125;0,516129032258065;0,0151209677419355;0,637887
"6";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,334816322171678
"7";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,633388083204917
"8";"CINA1";0,53125;0,516129032258065;0,0151209677419355;0,637887
"9";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,334816322171678
"10";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,633388083204917
"11";"CINA1";0,53125;0,516129032258065;0,0151209677419355;0,637887
"12";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,334816322171678
"13";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,633388083204917
"14";"CINA1";0,53125;0,516129032258065;0,0151209677419355;0,637887
"15";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,334816322171678
"16";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,427894423568576
"17";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,410413
"18";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,520929294758705
"19";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,427894423568576
"20";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,410413
"21";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,520929294758705
"22";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,427894423568576
"23";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,410413
"24";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,520929294758705
"25";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,427894423568576
"26";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,410413
"27";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,520929294758705
"28";"CINA1";0,555555555555556;0,5;0,0555555555555556;0,427894423568576
"29";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,410413
"30";"CINA1";0,40625;0,296296296296296;0,109953703703704;0,520929294758705
"31";"CINA1";0,424242424242424;0,344827586206897;0,0794148380355277;0,483066275792724
"32";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,474321
"33";"CINA1";0,354838709677419;0,230769230769231;0,124069478908189;0,367302591250409
"34";"CINA1";0,424242424242424;0,344827586206897;0,0794148380355277;0,483066275792724
"35";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,474321
"36";"CINA1";0,354838709677419;0,230769230769231;0,124069478908189;0,367302591250409
"37";"CINA1";0,424242424242424;0,344827586206897;0,0794148380355277;0,483066275792724
"38";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,474321
"39";"CINA1";0,354838709677419;0,230769230769231;0,124069478908189;0,367302591250409
"40";"CINA1";0,424242424242424;0,344827586206897;0,0794148380355277;0,483066275792724
"41";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,474321
"42";"CINA1";0,354838709677419;0,230769230769231;0,124069478908189;0,367302591250409
"43";"CINA1";0,424242424242424;0,344827586206897;0,0794148380355277;0,483066275792724
"44";"CINA1";0,433333333333333;0,413793103448276;0,0195402298850575;0,474321
"45";"CINA1";0,354838709677419;0,230769230769231;0,124069478908189;0,367302591250409
"46";"CINA1";0,470588235294118;0,4;0,0705882352941176;0,413385190870809
"47";"CINA1";0,321428571428571;0,296296296296296;0,0251322751322751;0,258036
"48";"CINA1";0,5;0,413793103448276;0,0862068965517241;0,347449191984808
"49";"CINA1";0,470588235294118;0,4;0,0705882352941176;0,413385190870809
"50";"CINA1";0,321428571428571;0,296296296296296;0,0251322751322751;0,258036
"51";"CINA1";0,5;0,413793103448276;0,0862068965517241;0,347449191984808
