"arms";"jacc";"turn";"nest";"bray"
"78";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,760496718509845
"79";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,772876
"80";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,645841
"81";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,777186055616944
"82";"CINA1A";0,5;0,4;0,1;0,923163956835914
"83";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,715029081026919
"84";"CINA1A";0,4;0,25;0,15;0,933504
"85";"CINA1A";0,571428571428571;0,5;0,0714285714285714;0,815746184253816
"86";"CINA1A";0,461538461538462;0,363636363636364;0,0979020979020979;0,850897850897851
"87";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,586398
"88";"CINA1A";0,363636363636364;0;0,363636363636364;0,859642
"89";"CINA1A";0,363636363636364;0;0,363636363636364;0,581094677485678
"90";"CINA1A";0,692307692307692;0,6;0,0923076923076923;0,559117921887844
"91";"CINA1A";0,307692307692308;0,307692307692308;0;0,936212047445936
"92";"CINA1A";0,6;0,571428571428571;0,0285714285714286;0,998475996951994
"93";"CINA1A";0,615384615384615;0,444444444444444;0,170940170940171;0,944383055616944
"94";"CINA1A";0,384615384615385;0,333333333333333;0,0512820512820513;0,382219382219382
"95";"CINA1A";0,615384615384615;0,444444444444444;0,170940170940171;0,714229877163714
"96";"CINA1A";0,785714285714286;0,727272727272727;0,0584415584415584;1
"97";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,961841961841962
"98";"CINA1A";0,4;0,4;0;0,862725961841962
"99";"CINA1A";0,333333333333333;0,25;0,0833333333333333;0,71030871030871
"100";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,891230891230891
"101";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,650560308537651
"102";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,77703697954898
"103";"CINA1A";0,545454545454545;0,545454545454545;0;0,756121978572979
"104";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,97954897954898
"105";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,80997
"106";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,649202649202649
"107";"CINA1A";0,615384615384615;0,545454545454545;0,0699300699300699;0,56240412480825
"108";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,979548979548979
"109";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,740323
"110";"CINA1A";0,4;0,25;0,15;0,814197
"111";"CINA1A";0,5;0,5;0;0,948006
"112";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,398275264409736
"113";"CINA1A";0,363636363636364;0,363636363636364;0;0,700599
"114";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,596606210181369
"115";"CINA1A";0,5;0,5;0;0,375521
"116";"CINA1A";0,222222222222222;0;0,222222222222222;0,946437
"117";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,771740228259772
"118";"CINA1A";0,642857142857143;0,615384615384615;0,0274725274725275;0,995259996951994
"119";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,58420700044
"120";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,879642
"121";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,9988
"122";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,734277734277734
"123";"CINA1A";0,3;0,222222222222222;0,0777777777777778;0,796921
"124";"CINA1A";0,545454545454545;0,545454545454545;0;0,358924144778566
"125";"CINA1A";0,4;0,4;0;0,859297
"126";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,598174
"127";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,9988
"128";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,633900733016733
"129";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,84733
"130";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,525704
"131";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,921832921832922
"132";"CINA1A";0,6;0,6;0;0,879642
"133";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,851878
"134";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,481772
"135";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,714483
"136";"CINA1A";0,5;0,25;0,25;0,690863
"137";"CINA1A";0,5;0,25;0,25;0,851227851227851
"138";"CINA1A";0,692307692307692;0,6;0,0923076923076923;0,978417956835914
"139";"CINA1A";0,363636363636364;0,363636363636364;0;0,999446999446999
"140";"CINA1A";0,4;0,25;0,15;1
"141";"CINA1A";0,5;0,5;0;0,470623
"142";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,700851
"143";"CINA1A";0,363636363636364;0,363636363636364;0;0,821568
"144";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,8121
"145";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,851227851227851
"146";"CINA1A";0,538461538461538;0,5;0,0384615384615385;1
"147";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,766930233069767
"148";"CINA1A";0,4;0,25;0,15;0,428824238205429
"149";"CINA1A";0,5;0,5;0;0,653079833514833
"150";"CINA1A";0,692307692307692;0,666666666666667;0,0256410256410256;0,570387225949259
"151";"CINA1A";0,615384615384615;0,615384615384615;0;0,386347855189855
"152";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,826440895889896
"153";"CINA1A";0,571428571428571;0,5;0,0714285714285714;0,787962178485788
"154";"CINA1A";0,538461538461538;0,5;0,0384615384615385;0,808124808124808
"155";"CINA1A";0,666666666666667;0,6;0,0666666666666667;0,904616905496905
"156";"CINA1A";0,4;0,25;0,15;0,617701
"157";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,395043750760812
"158";"CINA1A";0,333333333333333;0,25;0,0833333333333333;0,862114010714989
"159";"CINA1A";0,727272727272727;0,727272727272727;0;0,918274032053968
"160";"CINA1A";0,615384615384615;0,444444444444444;0,170940170940171;0,805031194968805
"161";"CINA1A";0,5;0,25;0,25;0,628242371757628
"162";"CINA1A";0,444444444444444;0,444444444444444;0;0,724875275124725
"163";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,617701
"164";"CINA1A";0,3;0,222222222222222;0,0777777777777778;0,661315
"165";"CINA1A";0,5;0,5;0;0,583417
"166";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,745925015275985
"167";"CINA1A";0,333333333333333;0,2;0,133333333333333;0,702116851227851
"168";"CINA1A";0,538461538461538;0,5;0,0384615384615385;0,855852
"169";"CINA1A";0,4;0,4;0;0,872829
"170";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,600939491671525
"171";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,598174
"172";"CINA1A";0,538461538461538;0,4;0,138461538461538;0,563508241542208
"173";"CINA1A";0,5;0,4;0,1;0,44889865330404
"174";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,760496718509845
"175";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,772876
"176";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,645841
"177";"CINA1A";0,416666666666667;0,222222222222222;0,194444444444444;0,777186055616944
"178";"CINA1A";0,5;0,4;0,1;0,923163956835914
"179";"CINA1A";0,636363636363636;0,6;0,0363636363636364;0,715029081026919
"180";"CINA1A";0,4;0,25;0,15;0,933504
"181";"CINA1A";0,571428571428571;0,5;0,0714285714285714;0,815746184253816
"182";"CINA1A";0,461538461538462;0,363636363636364;0,0979020979020979;0,850897850897851
"183";"CINA1A";0,545454545454545;0,444444444444444;0,101010101010101;0,586398
"184";"CINA1A";0,363636363636364;0;0,363636363636364;0,859642
"185";"CINA1A";0,363636363636364;0;0,363636363636364;0,581094677485678
"186";"CINA1A";0,692307692307692;0,6;0,0923076923076923;0,559117921887844
"187";"CINA1A";0,307692307692308;0,307692307692308;0;0,936212047445936
"188";"CINA1A";0,6;0,571428571428571;0,0285714285714286;0,998475996951994
"189";"CINA1A";0,615384615384615;0,444444444444444;0,170940170940171;0,944383055616944
"190";"CINA1A";0,384615384615385;0,333333333333333;0,0512820512820513;0,382219382219382
"191";"CINA1A";0,615384615384615;0,444444444444444;0,170940170940171;0,714229877163714
"192";"CINA1A";0,785714285714286;0,727272727272727;0,0584415584415584;1
"193";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,961841961841962
"194";"CINA1A";0,4;0,4;0;0,862725961841962
"195";"CINA1A";0,333333333333333;0,25;0,0833333333333333;0,71030871030871
"196";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,891230891230891
"197";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,650560308537651
"198";"CINA1A";0,454545454545455;0,4;0,0545454545454545;0,77703697954898
"199";"CINA1A";0,545454545454545;0,545454545454545;0;0,756121978572979
"200";"CINA1A";0,583333333333333;0,545454545454545;0,0378787878787879;0,97954897954898
"201";"CINA1A";0,5;0,444444444444444;0,0555555555555556;0,80997
