"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"nest";"nest_numeric"
"383";"CINA2A";"62.5%";"52.5%";"52.5%";"7.5%";"52.5%";22
"384";"CINA2A";"12.5%";"32.5%";"0%";"32.5%";"0%";1
"385";"CINA2B";"0%";"2.5%";"0%";"2.5%";"0%";1
"386";"CINA2B";"0%";"0%";"0%";"2.5%";"0%";1
"387";"CINA2B";"2.5%";"2.5%";"77.5%";"15%";"77.5%";32
"388";"CINA2B";"25%";"17.5%";"85%";"7.5%";"85%";35
"389";"CINA2B";"2.5%";"2.5%";"77.5%";"5%";"77.5%";32
"390";"CINA2B";"25%";"17.5%";"85%";"37.5%";"85%";35
"391";"CINA2B";"30%";"17.5%";"92.5%";"12.5%";"92.5%";38
"392";"CINA2B";"25%";"17.5%";"85%";"10%";"85%";35
"393";"CINA2B";"7.5%";"17.5%";"0%";"27.5%";"0%";1
"394";"CINA2B";"62.5%";"42.5%";"87.5%";"15%";"87.5%";36
"395";"CINA2B";"2.5%";"2.5%";"90%";"22.5%";"90%";37
"396";"CINA2B";"15%";"17.5%";"57.5%";"12.5%";"57.5%";24
"397";"CINA2B";"0%";"2.5%";"0%";"5%";"0%";1
"398";"CINA2B";"15%";"17.5%";"57.5%";"12.5%";"57.5%";24
"399";"CINA2B";"22.5%";"30%";"62.5%";"5%";"62.5%";26
"400";"CINA2B";"15%";"17.5%";"57.5%";"35%";"57.5%";24
"401";"CINA2B";"25%";"17.5%";"85%";"37.5%";"85%";35
"402";"CINA2B";"7.5%";"17.5%";"0%";"2.5%";"0%";1
"403";"CINA2B";"50%";"42.5%";"67.5%";"25%";"67.5%";28
"404";"CINA2B";"7.5%";"17.5%";"0%";"15%";"0%";1
"405";"CINA2B";"2.5%";"2.5%";"77.5%";"2.5%";"77.5%";32
"406";"CINA2B";"25%";"17.5%";"85%";"35%";"85%";35
"407";"CINA2B";"15%";"17.5%";"57.5%";"15%";"57.5%";24
"408";"CINA2B";"2.5%";"2.5%";"77.5%";"10%";"77.5%";32
"409";"CINA2B";"2.5%";"7.5%";"77.5%";"12.5%";"77.5%";32
"410";"CINA2B";"25%";"17.5%";"85%";"27.5%";"85%";35
"411";"CINA2B";"25%";"17.5%";"85%";"27.5%";"85%";35
"412";"CINA2B";"0%";"2.5%";"0%";"5%";"0%";1
"413";"CINA2B";"30%";"17.5%";"92.5%";"47.5%";"92.5%";38
"414";"CINA2B";"7.5%";"17.5%";"0%";"20%";"0%";1
"415";"CINA2B";"0%";"0%";"87.5%";"0%";"87.5%";36
"416";"CINA2B";"62.5%";"42.5%";"87.5%";"27.5%";"87.5%";36
"417";"CINA2B";"15%";"17.5%";"57.5%";"7.5%";"57.5%";24
"418";"CINA2B";"30%";"30%";"87.5%";"27.5%";"87.5%";36
"419";"CINA2B";"7.5%";"10%";"52.5%";"5%";"52.5%";22
"420";"CINA2B";"25%";"35%";"0%";"17.5%";"0%";1
"421";"CINA2B";"0%";"0%";"87.5%";"15%";"87.5%";36
"422";"CINA2B";"17.5%";"10%";"80%";"7.5%";"80%";33
"423";"CINA2B";"30%";"35%";"42.5%";"7.5%";"42.5%";18
"424";"CINA2B";"2.5%";"10%";"0%";"7.5%";"0%";1
"425";"CINA2B";"40%";"35%";"75%";"5%";"75%";31
"426";"CINA2B";"30%";"35%";"42.5%";"20%";"42.5%";18
"427";"CINA2B";"75%";"62.5%";"82.5%";"12.5%";"82.5%";34
"428";"CINA2B";"30%";"30%";"87.5%";"20%";"87.5%";36
"429";"CINA2B";"75%";"62.5%";"82.5%";"50%";"82.5%";34
"430";"CINA2B";"82.5%";"62.5%";"90%";"12.5%";"90%";37
"431";"CINA2B";"45%";"30%";"95%";"22.5%";"95%";39
"432";"CINA2B";"62.5%";"62.5%";"37.5%";"35%";"37.5%";16
"433";"CINA2B";"100%";"87.5%";"77.5%";"27.5%";"77.5%";32
"434";"CINA2B";"45%";"30%";"95%";"45%";"95%";39
"435";"CINA2B";"30%";"30%";"87.5%";"17.5%";"87.5%";36
"436";"CINA2B";"30%";"35%";"42.5%";"27.5%";"42.5%";18
"437";"CINA2B";"17.5%";"32.5%";"0%";"20%";"0%";1
"438";"CINA2B";"25%";"17.5%";"85%";"10%";"85%";35
"439";"CINA2B";"40%";"57.5%";"0%";"30%";"0%";1
"440";"CINA2B";"25%";"17.5%";"85%";"2.5%";"85%";35
"441";"CINA2B";"30%";"35%";"42.5%";"7.5%";"42.5%";18
"442";"CINA2B";"40%";"57.5%";"0%";"27.5%";"0%";1
"443";"CINA2B";"0%";"0%";"65%";"5%";"65%";27
"444";"CINA2B";"30%";"35%";"42.5%";"20%";"42.5%";18
"445";"CINA2B";"15%";"17.5%";"57.5%";"5%";"57.5%";24
"446";"CINA2B";"40%";"35%";"75%";"37.5%";"75%";31
"447";"CINA2B";"45%";"42.5%";"45%";"22.5%";"45%";19
"448";"CINA2B";"2.5%";"10%";"0%";"10%";"0%";1
"449";"CINA2B";"72.5%";"67.5%";"62.5%";"27.5%";"62.5%";26
"450";"CINA2B";"25%";"35%";"0%";"15%";"0%";1
"451";"CINA2B";"50%";"42.5%";"67.5%";"35%";"67.5%";28
"452";"CINA2B";"27.5%";"32.5%";"40%";"20%";"40%";17
"453";"CINA2B";"40%";"57.5%";"0%";"10%";"0%";1
"454";"CINA2B";"30%";"35%";"42.5%";"27.5%";"42.5%";18
"455";"CINA2B";"82.5%";"85%";"27.5%";"27.5%";"27.5%";12
"456";"CINA2B";"17.5%";"32.5%";"0%";"5%";"0%";1
"457";"CINA2B";"30%";"17.5%";"92.5%";"7.5%";"92.5%";38
"458";"CINA2B";"25%";"17.5%";"85%";"2.5%";"85%";35
"459";"CINA2B";"7.5%";"17.5%";"0%";"25%";"0%";1
"460";"CINA2B";"62.5%";"42.5%";"87.5%";"12.5%";"87.5%";36
"461";"CINA2B";"25%";"17.5%";"85%";"22.5%";"85%";35
"462";"CINA2B";"45%";"42.5%";"45%";"17.5%";"45%";19
"463";"CINA2B";"97.5%";"97.5%";"22.5%";"47.5%";"22.5%";10
"464";"CINA2B";"7.5%";"2.5%";"97.5%";"5%";"97.5%";40
"465";"CINA2B";"40%";"35%";"75%";"17.5%";"75%";31
"466";"CINA2B";"82.5%";"85%";"27.5%";"32.5%";"27.5%";12
"467";"CINA2B";"17.5%";"10%";"80%";"7.5%";"80%";33
"468";"CINA2B";"82.5%";"72.5%";"55%";"15%";"55%";23
"469";"CINA2B";"30%";"35%";"42.5%";"5%";"42.5%";18
"470";"CINA2B";"100%";"100%";"20%";"32.5%";"20%";9
"471";"CINA2B";"30%";"35%";"42.5%";"12.5%";"42.5%";18
"472";"CINA2B";"15%";"17.5%";"57.5%";"15%";"57.5%";24
"473";"CINA2B";"62.5%";"42.5%";"87.5%";"7.5%";"87.5%";36
"474";"CINA2B";"50%";"42.5%";"67.5%";"20%";"67.5%";28
"475";"CINA2B";"72.5%";"67.5%";"62.5%";"10%";"62.5%";26
"476";"CINA2B";"7.5%";"10%";"52.5%";"20%";"52.5%";22
"477";"CINA2B";"25%";"35%";"0%";"7.5%";"0%";1
"478";"CINA2B";"97.5%";"97.5%";"22.5%";"27.5%";"22.5%";10
"479";"CINA2B";"40%";"35%";"75%";"15%";"75%";31
"480";"CINA2B";"30%";"35%";"42.5%";"10%";"42.5%";18
"481";"CINA2C";"15%";"30%";"40%";"7.5%";"40%";17
"482";"CINA2C";"55%";"45%";"62.5%";"2.5%";"62.5%";26
"483";"CINA2C";"10%";"30%";"0%";"2.5%";"0%";1
"484";"CINA2C";"42.5%";"57.5%";"0%";"10%";"0%";1
"485";"CINA2C";"2.5%";"7.5%";"0%";"0%";"0%";1
"486";"CINA2C";"42.5%";"57.5%";"0%";"7.5%";"0%";1
"487";"CINA2C";"50%";"57.5%";"22.5%";"17.5%";"22.5%";10
"488";"CINA2C";"47.5%";"30%";"82.5%";"2.5%";"82.5%";34
"489";"CINA2C";"47.5%";"30%";"82.5%";"7.5%";"82.5%";34
"490";"CINA2C";"60%";"57.5%";"47.5%";"5%";"47.5%";20
"491";"CINA2C";"47.5%";"30%";"82.5%";"2.5%";"82.5%";34
"492";"CINA2C";"65%";"77.5%";"22.5%";"15%";"22.5%";10
"493";"CINA2C";"65%";"45%";"72.5%";"20%";"72.5%";30
"494";"CINA2C";"2.5%";"7.5%";"50%";"2.5%";"50%";21
"495";"CINA2C";"47.5%";"45%";"47.5%";"22.5%";"47.5%";20
"496";"CINA2C";"15%";"30%";"40%";"10%";"40%";17
"497";"CINA2C";"15%";"30%";"40%";"2.5%";"40%";17
"498";"CINA2C";"75%";"80%";"40%";"15%";"40%";17
"499";"CINA2C";"55%";"45%";"62.5%";"20%";"62.5%";26
"500";"CINA2C";"2.5%";"0%";"97.5%";"2.5%";"97.5%";40
"501";"CINA2C";"60%";"80%";"0%";"25%";"0%";1
"502";"CINA2C";"27.5%";"25%";"72.5%";"20%";"72.5%";30
"503";"CINA2C";"75%";"77.5%";"45%";"15%";"45%";19
"504";"CINA2C";"55%";"45%";"62.5%";"2.5%";"62.5%";26
"505";"CINA2C";"50%";"17.5%";"97.5%";"2.5%";"97.5%";40
"506";"CINA2C";"100%";"100%";"22.5%";"52.5%";"22.5%";10
"507";"CINA2C";"90%";"82.5%";"42.5%";"15%";"42.5%";18
"508";"CINA2C";"85%";"45%";"87.5%";"12.5%";"87.5%";36
"509";"CINA2C";"100%";"100%";"17.5%";"57.5%";"17.5%";8
"510";"CINA2C";"60%";"17.5%";"100%";"7.5%";"100%";41
"511";"CINA2C";"92.5%";"82.5%";"52.5%";"12.5%";"52.5%";22
"512";"CINA2C";"100%";"100%";"42.5%";"65%";"42.5%";18
"513";"CINA2C";"47.5%";"45%";"42.5%";"5%";"42.5%";18
"514";"CINA2C";"12.5%";"7.5%";"87.5%";"15%";"87.5%";36
"515";"CINA2C";"10%";"30%";"0%";"7.5%";"0%";1
"516";"CINA2C";"2.5%";"7.5%";"0%";"0%";"0%";1
"517";"CINA2C";"40%";"30%";"77.5%";"7.5%";"77.5%";32
"518";"CINA2C";"50%";"57.5%";"22.5%";"7.5%";"22.5%";10
"519";"CINA2C";"47.5%";"30%";"82.5%";"15%";"82.5%";34
"520";"CINA2C";"50%";"57.5%";"22.5%";"20%";"22.5%";10
"521";"CINA2C";"27.5%";"30%";"62.5%";"20%";"62.5%";26
"522";"CINA2C";"15%";"7.5%";"90%";"2.5%";"90%";37
"523";"CINA2C";"67.5%";"57.5%";"55%";"15%";"55%";23
"524";"CINA2C";"2.5%";"0%";"97.5%";"2.5%";"97.5%";40
"525";"CINA2C";"40%";"30%";"77.5%";"20%";"77.5%";32
"526";"CINA2C";"75%";"80%";"40%";"20%";"40%";17
"527";"CINA2C";"25%";"35%";"27.5%";"2.5%";"27.5%";12
"528";"CINA2C";"25%";"35%";"27.5%";"15%";"27.5%";12
"529";"CINA2C";"55%";"77.5%";"22.5%";"5%";"22.5%";10
"530";"CINA2C";"47.5%";"57.5%";"22.5%";"2.5%";"22.5%";10
"531";"CINA2C";"60%";"40%";"80%";"15%";"80%";33
"532";"CINA2C";"42.5%";"57.5%";"0%";"17.5%";"0%";1
"533";"CINA2C";"42.5%";"57.5%";"0%";"7.5%";"0%";1
"534";"CINA2C";"67.5%";"57.5%";"55%";"5%";"55%";23
"535";"CINA2C";"92.5%";"82.5%";"52.5%";"30%";"52.5%";22
"536";"CINA2C";"15%";"7.5%";"90%";"2.5%";"90%";37
"537";"CINA2C";"50%";"57.5%";"22.5%";"15%";"22.5%";10
"538";"CINA2C";"47.5%";"30%";"82.5%";"22.5%";"82.5%";34
"539";"CINA2C";"65%";"77.5%";"22.5%";"17.5%";"22.5%";10
"540";"CINA2C";"42.5%";"57.5%";"0%";"7.5%";"0%";1
"541";"CINA2C";"12.5%";"7.5%";"87.5%";"2.5%";"87.5%";36
"542";"CINA2C";"85%";"82.5%";"20%";"22.5%";"20%";9
"543";"CINA2C";"15%";"7.5%";"90%";"2.5%";"90%";37
"544";"CINA2C";"15%";"30%";"40%";"2.5%";"40%";17
"545";"CINA2C";"60%";"57.5%";"47.5%";"25%";"47.5%";20
"546";"CINA2C";"27.5%";"40%";"42.5%";"5%";"42.5%";18
"547";"CINA2C";"67.5%";"57.5%";"55%";"12.5%";"55%";23
"548";"CINA2C";"85%";"82.5%";"20%";"0%";"20%";9
"549";"CINA2C";"75%";"57.5%";"70%";"17.5%";"70%";29
"550";"CINA2C";"50%";"57.5%";"22.5%";"25%";"22.5%";10
"551";"CINA2C";"27.5%";"30%";"62.5%";"20%";"62.5%";26
"552";"CINA2C";"75%";"57.5%";"70%";"12.5%";"70%";29
"553";"CINA2C";"75%";"80%";"40%";"7.5%";"40%";17
"554";"CINA2C";"47.5%";"57.5%";"22.5%";"2.5%";"22.5%";10
"555";"CINA2C";"47.5%";"57.5%";"22.5%";"7.5%";"22.5%";10
"556";"CINA2C";"27.5%";"42.5%";"32.5%";"5%";"32.5%";14
"557";"CINA2C";"72.5%";"82.5%";"17.5%";"5%";"17.5%";8
"558";"CINA2C";"60%";"40%";"80%";"15%";"80%";33
"559";"CINA2C";"85%";"80%";"50%";"30%";"50%";21
"560";"CINA2C";"27.5%";"25%";"72.5%";"5%";"72.5%";30
"561";"CINA2C";"60%";"80%";"0%";"20%";"0%";1
"562";"CINA2C";"55%";"45%";"62.5%";"25%";"62.5%";26
"563";"CINA2C";"95%";"95%";"35%";"22.5%";"35%";15
"564";"CINA2C";"10%";"30%";"0%";"2.5%";"0%";1
"565";"CINA2C";"55%";"45%";"62.5%";"0%";"62.5%";26
"566";"CINA2C";"65%";"77.5%";"40%";"37.5%";"40%";17
"567";"CINA2C";"92.5%";"77.5%";"72.5%";"25%";"72.5%";30
"568";"CINA2C";"55%";"45%";"62.5%";"22.5%";"62.5%";26
"569";"CINA2C";"12.5%";"25%";"55%";"7.5%";"55%";23
"570";"CINA2C";"10%";"30%";"0%";"2.5%";"0%";1
"571";"CINA2C";"40%";"45%";"32.5%";"15%";"32.5%";14
"572";"CINA2C";"85%";"80%";"50%";"7.5%";"50%";21
"573";"CINA2C";"75%";"77.5%";"45%";"20%";"45%";19
"574";"CINA2C";"65%";"77.5%";"40%";"40%";"40%";17
"575";"CINA2C";"85%";"77.5%";"55%";"30%";"55%";23
"576";"CINA2C";"67.5%";"40%";"90%";"15%";"90%";37
"577";"CINA3A";"15%";"32.5%";"0%";"5%";"0%";1
"578";"CINA3A";"7.5%";"15%";"57.5%";"15%";"57.5%";24
"579";"CINA3A";"22.5%";"25%";"85%";"7.5%";"85%";35
"580";"CINA3A";"15%";"32.5%";"0%";"15%";"0%";1
"581";"CINA3A";"70%";"67.5%";"52.5%";"40%";"52.5%";22
"582";"CINA3A";"7.5%";"0%";"100%";"15%";"100%";41
"583";"CINA3A";"62.5%";"67.5%";"32.5%";"7.5%";"32.5%";14
"584";"CINA3A";"62.5%";"67.5%";"32.5%";"50%";"32.5%";14
"585";"CINA3A";"25%";"32.5%";"40%";"25%";"40%";17
"586";"CINA3A";"80%";"87.5%";"17.5%";"12.5%";"17.5%";8
"587";"CINA3A";"17.5%";"10%";"87.5%";"40%";"87.5%";36
"588";"CINA3A";"2.5%";"0%";"87.5%";"15%";"87.5%";36
"589";"CINA3A";"72.5%";"75%";"25%";"32.5%";"25%";11
"590";"CINA3A";"22.5%";"25%";"85%";"7.5%";"85%";35
"591";"CINA3A";"35%";"32.5%";"62.5%";"2.5%";"62.5%";26
"592";"CINA3A";"70%";"67.5%";"52.5%";"40%";"52.5%";22
"593";"CINA3A";"27.5%";"10%";"95%";"5%";"95%";39
"594";"CINA3A";"42.5%";"32.5%";"80%";"0%";"80%";33
"595";"CINA3A";"62.5%";"67.5%";"32.5%";"40%";"32.5%";14
"596";"CINA3A";"25%";"32.5%";"40%";"20%";"40%";17
"597";"CINA3A";"32.5%";"40%";"42.5%";"0%";"42.5%";18
"598";"CINA3A";"17.5%";"10%";"87.5%";"20%";"87.5%";36
"599";"CINA3A";"10%";"10%";"77.5%";"7.5%";"77.5%";32
"600";"CINA3A";"10%";"25%";"57.5%";"20%";"57.5%";24
"601";"CINA3A";"25%";"15%";"90%";"17.5%";"90%";37
"602";"CINA3A";"72.5%";"75%";"25%";"47.5%";"25%";11
"603";"CINA3A";"17.5%";"0%";"100%";"15%";"100%";41
"604";"CINA3A";"35%";"15%";"95%";"15%";"95%";39
"605";"CINA3A";"75%";"75%";"52.5%";"40%";"52.5%";22
"606";"CINA3A";"42.5%";"40%";"65%";"17.5%";"65%";27
"607";"CINA3A";"65%";"75%";"0%";"7.5%";"0%";1
"608";"CINA3A";"75%";"75%";"52.5%";"22.5%";"52.5%";22
"609";"CINA3A";"25%";"15%";"90%";"30%";"90%";37
"610";"CINA3A";"42.5%";"25%";"97.5%";"15%";"97.5%";40
"611";"CINA3A";"22.5%";"25%";"85%";"7.5%";"85%";35
"612";"CINA3A";"75%";"50%";"85%";"32.5%";"85%";35
"613";"CINA3A";"62.5%";"25%";"100%";"7.5%";"100%";41
"614";"CINA3A";"32.5%";"25%";"95%";"0%";"95%";39
"615";"CINA3A";"32.5%";"25%";"95%";"15%";"95%";39
"616";"CINA3A";"42.5%";"50%";"45%";"2.5%";"45%";19
"617";"CINA3A";"32.5%";"25%";"95%";"0%";"95%";39
"618";"CINA3A";"25%";"0%";"100%";"15%";"100%";41
"619";"CINA3A";"35%";"32.5%";"62.5%";"2.5%";"62.5%";26
"620";"CINA3A";"57.5%";"72.5%";"0%";"20%";"0%";1
"621";"CINA3A";"42.5%";"45%";"52.5%";"5%";"52.5%";22
"622";"CINA3A";"90%";"92.5%";"15%";"12.5%";"15%";7
"623";"CINA3A";"90%";"92.5%";"15%";"40%";"15%";7
"624";"CINA3A";"75%";"80%";"20%";"37.5%";"20%";9
"625";"CINA3A";"90%";"92.5%";"15%";"10%";"15%";7
"626";"CINA3A";"65%";"72.5%";"20%";"12.5%";"20%";9
"627";"CINA3A";"27.5%";"45%";"0%";"10%";"0%";1
"628";"CINA3A";"85%";"87.5%";"37.5%";"37.5%";"37.5%";16
"629";"CINA3A";"27.5%";"10%";"95%";"0%";"95%";39
"630";"CINA3A";"42.5%";"32.5%";"80%";"25%";"80%";33
"631";"CINA3A";"62.5%";"67.5%";"32.5%";"20%";"32.5%";14
"632";"CINA3A";"62.5%";"67.5%";"32.5%";"20%";"32.5%";14
"633";"CINA3A";"72.5%";"75%";"25%";"12.5%";"25%";11
"634";"CINA3A";"17.5%";"10%";"87.5%";"15%";"87.5%";36
"635";"CINA3A";"10%";"10%";"77.5%";"0%";"77.5%";32
"636";"CINA3A";"42.5%";"45%";"52.5%";"10%";"52.5%";22
"637";"CINA3A";"42.5%";"45%";"25%";"32.5%";"25%";11
"638";"CINA3A";"90%";"92.5%";"15%";"50%";"15%";7
"639";"CINA3A";"75%";"80%";"20%";"25%";"20%";9
"640";"CINA3A";"62.5%";"40%";"82.5%";"15%";"82.5%";34
"641";"CINA3A";"90%";"92.5%";"15%";"32.5%";"15%";7
"642";"CINA3A";"57.5%";"72.5%";"0%";"20%";"0%";1
"643";"CINA3A";"10%";"25%";"35%";"7.5%";"35%";15
"644";"CINA3A";"42.5%";"27.5%";"77.5%";"0%";"77.5%";32
"645";"CINA3A";"15%";"7.5%";"87.5%";"2.5%";"87.5%";36
"646";"CINA3A";"17.5%";"0%";"100%";"0%";"100%";41
"647";"CINA3A";"42.5%";"27.5%";"77.5%";"0%";"77.5%";32
"648";"CINA3A";"2.5%";"5%";"47.5%";"0%";"47.5%";20
"649";"CINA3A";"77.5%";"80%";"40%";"7.5%";"40%";17
"650";"CINA3A";"77.5%";"80%";"40%";"50%";"40%";17
"651";"CINA3A";"57.5%";"55%";"55%";"15%";"55%";23
"652";"CINA3A";"77.5%";"80%";"40%";"7.5%";"40%";17
"653";"CINA3A";"42.5%";"67.5%";"0%";"27.5%";"0%";1
"654";"CINA3A";"15%";"27.5%";"37.5%";"15%";"37.5%";16
"655";"CINA3A";"35%";"55%";"0%";"32.5%";"0%";1
"656";"CINA3A";"35%";"55%";"0%";"5%";"0%";1
"657";"CINA3A";"75%";"75%";"52.5%";"7.5%";"52.5%";22
"658";"CINA3A";"27.5%";"27.5%";"60%";"17.5%";"60%";25
"659";"CINA3A";"42.5%";"55%";"25%";"2.5%";"25%";11
"660";"CINA3A";"70%";"80%";"0%";"15%";"0%";1
"661";"CINA3A";"92.5%";"92.5%";"35%";"30%";"35%";15
"662";"CINA3A";"70%";"80%";"0%";"20%";"0%";1
"663";"CINA3A";"42.5%";"55%";"25%";"12.5%";"25%";11
"664";"CINA3A";"42.5%";"40%";"65%";"10%";"65%";27
"665";"CINA3A";"85%";"92.5%";"0%";"2.5%";"0%";1
"666";"CINA3A";"57.5%";"55%";"55%";"15%";"55%";23
"667";"CINA3A";"75%";"75%";"52.5%";"5%";"52.5%";22
"668";"CINA3A";"70%";"40%";"87.5%";"15%";"87.5%";36
"669";"CINA3A";"25%";"15%";"90%";"7.5%";"90%";37
"670";"CINA3A";"27.5%";"27.5%";"60%";"7.5%";"60%";25
"671";"CINA3A";"75%";"80%";"20%";"0%";"20%";9
"672";"CINA3A";"15%";"27.5%";"37.5%";"7.5%";"37.5%";16
"673";"CINA3B";"45%";"72.5%";"0%";"5%";"0%";1
"674";"CINA3B";"5%";"7.5%";"75%";"5%";"75%";31
"675";"CINA3B";"17.5%";"32.5%";"40%";"5%";"40%";17
"676";"CINA3B";"80%";"72.5%";"55%";"32.5%";"55%";23
"677";"CINA3B";"60%";"72.5%";"22.5%";"22.5%";"22.5%";10
"678";"CINA3B";"60%";"72.5%";"22.5%";"7.5%";"22.5%";10
"679";"CINA3B";"40%";"32.5%";"72.5%";"27.5%";"72.5%";30
"680";"CINA3B";"40%";"32.5%";"72.5%";"2.5%";"72.5%";30
"681";"CINA3B";"95%";"72.5%";"80%";"12.5%";"80%";33
"682";"CINA3B";"95%";"72.5%";"80%";"7.5%";"80%";33
"683";"CINA3B";"17.5%";"7.5%";"92.5%";"12.5%";"92.5%";38
"684";"CINA3B";"17.5%";"7.5%";"92.5%";"17.5%";"92.5%";38
"685";"CINA3B";"72.5%";"72.5%";"45%";"27.5%";"45%";19
"686";"CINA3B";"60%";"72.5%";"22.5%";"2.5%";"22.5%";10
"687";"CINA3B";"97.5%";"100%";"17.5%";"10%";"17.5%";8
"688";"CINA3B";"60%";"72.5%";"22.5%";"22.5%";"22.5%";10
"689";"CINA3B";"17.5%";"32.5%";"40%";"7.5%";"40%";17
"690";"CINA3B";"97.5%";"95%";"42.5%";"5%";"42.5%";18
"691";"CINA3B";"40%";"32.5%";"72.5%";"20%";"72.5%";30
"692";"CINA3B";"35%";"7.5%";"97.5%";"10%";"97.5%";40
"693";"CINA3B";"60%";"72.5%";"22.5%";"15%";"22.5%";10
"694";"CINA3B";"55%";"32.5%";"82.5%";"35%";"82.5%";34
"695";"CINA3B";"17.5%";"7.5%";"92.5%";"15%";"92.5%";38
"696";"CINA3B";"2.5%";"5%";"52.5%";"5%";"52.5%";22
"697";"CINA3B";"17.5%";"12.5%";"90%";"5%";"90%";37
"698";"CINA3B";"65%";"80%";"20%";"42.5%";"20%";9
"699";"CINA3B";"40%";"52.5%";"30%";"2.5%";"30%";13
"700";"CINA3B";"2.5%";"5%";"45%";"5%";"45%";19
"701";"CINA3B";"65%";"80%";"20%";"42.5%";"20%";9
"702";"CINA3B";"65%";"52.5%";"70%";"5%";"70%";29
"703";"CINA3B";"2.5%";"5%";"52.5%";"5%";"52.5%";22
"704";"CINA3B";"65%";"52.5%";"70%";"12.5%";"70%";29
"705";"CINA3B";"12.5%";"17.5%";"55%";"5%";"55%";23
"706";"CINA3B";"85%";"82.5%";"42.5%";"12.5%";"42.5%";18
"707";"CINA3B";"17.5%";"22.5%";"57.5%";"7.5%";"57.5%";24
"708";"CINA3B";"27.5%";"52.5%";"0%";"5%";"0%";1
"709";"CINA3B";"17.5%";"22.5%";"57.5%";"7.5%";"57.5%";24
"710";"CINA3B";"17.5%";"22.5%";"57.5%";"5%";"57.5%";24
"711";"CINA3B";"17.5%";"22.5%";"57.5%";"5%";"57.5%";24
"712";"CINA3B";"27.5%";"52.5%";"0%";"7.5%";"0%";1
"713";"CINA3B";"47.5%";"22.5%";"87.5%";"5%";"87.5%";36
"714";"CINA3B";"27.5%";"22.5%";"70%";"17.5%";"70%";29
"715";"CINA3B";"97.5%";"82.5%";"67.5%";"22.5%";"67.5%";28
"716";"CINA3B";"10%";"12.5%";"77.5%";"7.5%";"77.5%";32
"717";"CINA3B";"85%";"82.5%";"42.5%";"20%";"42.5%";18
"718";"CINA3B";"97.5%";"82.5%";"67.5%";"25%";"67.5%";28
"719";"CINA3B";"5%";"0%";"100%";"5%";"100%";41
"720";"CINA3B";"92.5%";"45%";"95%";"25%";"95%";39
"721";"CINA3B";"65%";"12.5%";"97.5%";"17.5%";"97.5%";40
"722";"CINA3B";"40%";"12.5%";"95%";"25%";"95%";39
"723";"CINA3B";"80%";"45%";"85%";"32.5%";"85%";35
"724";"CINA3B";"85%";"85%";"35%";"27.5%";"35%";15
"725";"CINA3B";"17.5%";"22.5%";"57.5%";"17.5%";"57.5%";24
"726";"CINA3B";"95%";"97.5%";"0%";"5%";"0%";1
"727";"CINA3B";"77.5%";"92.5%";"0%";"42.5%";"0%";1
"728";"CINA3B";"15%";"17.5%";"70%";"17.5%";"70%";29
"729";"CINA3B";"85%";"85%";"35%";"42.5%";"35%";15
"730";"CINA3B";"47.5%";"65%";"20%";"37.5%";"20%";9
"731";"CINA3B";"5%";"17.5%";"32.5%";"20%";"32.5%";14
"732";"CINA3B";"27.5%";"52.5%";"0%";"2.5%";"0%";1
"733";"CINA3B";"5%";"5%";"70%";"15%";"70%";29
"734";"CINA3B";"85%";"85%";"35%";"30%";"35%";15
"735";"CINA3B";"47.5%";"22.5%";"87.5%";"5%";"87.5%";36
"736";"CINA3B";"5%";"22.5%";"0%";"32.5%";"0%";1
"737";"CINA3B";"47.5%";"22.5%";"87.5%";"15%";"87.5%";36
"738";"CINA3B";"27.5%";"22.5%";"70%";"5%";"70%";29
"739";"CINA3B";"85%";"85%";"35%";"27.5%";"35%";15
"740";"CINA3B";"17.5%";"22.5%";"57.5%";"17.5%";"57.5%";24
"741";"CINA3B";"17.5%";"22.5%";"57.5%";"2.5%";"57.5%";24
"742";"CINA3B";"27.5%";"52.5%";"0%";"22.5%";"0%";1
"743";"CINA3B";"22.5%";"5%";"95%";"2.5%";"95%";39
"744";"CINA3B";"27.5%";"22.5%";"70%";"5%";"70%";29
"745";"CINA3B";"77.5%";"92.5%";"0%";"5%";"0%";1
"746";"CINA3B";"5%";"17.5%";"0%";"10%";"0%";1
"747";"CINA3B";"92.5%";"92.5%";"42.5%";"30%";"42.5%";18
"748";"CINA3B";"70%";"65%";"52.5%";"30%";"52.5%";22
"749";"CINA3B";"22.5%";"40%";"27.5%";"12.5%";"27.5%";12
"750";"CINA3B";"47.5%";"65%";"20%";"30%";"20%";9
"751";"CINA3B";"35%";"65%";"0%";"35%";"0%";1
"752";"CINA3B";"15%";"17.5%";"70%";"10%";"70%";29
"753";"CINA3B";"55%";"52.5%";"45%";"35%";"45%";19
"754";"CINA3B";"82.5%";"92.5%";"17.5%";"45%";"17.5%";8
"755";"CINA3B";"5%";"17.5%";"32.5%";"15%";"32.5%";14
"756";"CINA3B";"35%";"40%";"65%";"2.5%";"65%";27
"757";"CINA3B";"2.5%";"0%";"85%";"2.5%";"85%";35
"758";"CINA3B";"15%";"17.5%";"70%";"5%";"70%";29
"759";"CINA3B";"22.5%";"40%";"27.5%";"5%";"27.5%";12
"760";"CINA3B";"47.5%";"22.5%";"87.5%";"15%";"87.5%";36
