"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"nest";"nest_numeric"
"88";"CINA1A";"80%";"45%";"87.5%";"32.5%";"87.5%";36
"89";"CINA1A";"80%";"45%";"87.5%";"20%";"87.5%";36
"90";"CINA1A";"95%";"82.5%";"65%";"17.5%";"65%";27
"91";"CINA1A";"60%";"75%";"0%";"0%";"0%";1
"92";"CINA1A";"40%";"65%";"32.5%";"25%";"32.5%";14
"93";"CINA1A";"40%";"15%";"95%";"12.5%";"95%";39
"94";"CINA1A";"95%";"97.5%";"20%";"35%";"20%";9
"95";"CINA1A";"40%";"15%";"95%";"12.5%";"95%";39
"96";"CINA1A";"75%";"45%";"82.5%";"10%";"82.5%";34
"97";"CINA1B";"67.5%";"72.5%";"32.5%";"37.5%";"32.5%";14
"98";"CINA1B";"35%";"32.5%";"87.5%";"10%";"87.5%";36
"99";"CINA1B";"67.5%";"72.5%";"32.5%";"35%";"32.5%";14
"100";"CINA1B";"67.5%";"72.5%";"32.5%";"35%";"32.5%";14
"101";"CINA1B";"35%";"32.5%";"87.5%";"12.5%";"87.5%";36
"102";"CINA1B";"12.5%";"7.5%";"100%";"27.5%";"100%";41
"103";"CINA1B";"67.5%";"72.5%";"32.5%";"35%";"32.5%";14
"104";"CINA1B";"35%";"32.5%";"87.5%";"17.5%";"87.5%";36
"105";"CINA1B";"92.5%";"92.5%";"22.5%";"45%";"22.5%";10
"106";"CINA1B";"25%";"32.5%";"62.5%";"30%";"62.5%";26
"107";"CINA1B";"25%";"32.5%";"62.5%";"17.5%";"62.5%";26
"108";"CINA1B";"47.5%";"32.5%";"95%";"32.5%";"95%";39
"109";"CINA1B";"97.5%";"100%";"20%";"37.5%";"20%";9
"110";"CINA1B";"75%";"80%";"0%";"20%";"0%";1
"111";"CINA1B";"85%";"80%";"25%";"12.5%";"25%";11
"112";"CINA1B";"97.5%";"100%";"20%";"47.5%";"20%";9
"113";"CINA1B";"100%";"100%";"32.5%";"27.5%";"32.5%";14
"114";"CINA1B";"100%";"100%";"55%";"37.5%";"55%";23
"115";"CINA1B";"97.5%";"100%";"20%";"57.5%";"20%";9
"116";"CINA1B";"97.5%";"100%";"0%";"25%";"0%";1
"117";"CINA1B";"30%";"15%";"92.5%";"7.5%";"92.5%";38
"118";"CINA1B";"97.5%";"100%";"0%";"37.5%";"0%";1
"119";"CINA1B";"100%";"100%";"32.5%";"20%";"32.5%";14
"120";"CINA1B";"2.5%";"0%";"72.5%";"12.5%";"72.5%";30
"121";"CINA1B";"25%";"37.5%";"0%";"10%";"0%";1
"122";"CINA1B";"85%";"80%";"25%";"35%";"25%";11
"123";"CINA1B";"30%";"37.5%";"45%";"22.5%";"45%";19
"124";"CINA1B";"60%";"37.5%";"85%";"10%";"85%";35
"125";"CINA1B";"97.5%";"100%";"20%";"35%";"20%";9
"126";"CINA1B";"85%";"80%";"25%";"20%";"25%";11
"127";"CINA1B";"20%";"10%";"82.5%";"10%";"82.5%";34
"128";"CINA1B";"47.5%";"42.5%";"35%";"27.5%";"35%";15
"129";"CINA1B";"30%";"37.5%";"45%";"22.5%";"45%";19
"130";"CINA1B";"12.5%";"15%";"55%";"5%";"55%";23
"131";"CINA1B";"35%";"42.5%";"0%";"7.5%";"0%";1
"132";"CINA1B";"12.5%";"15%";"55%";"22.5%";"55%";23
"133";"CINA1B";"75%";"42.5%";"87.5%";"20%";"87.5%";36
"134";"CINA1B";"75%";"80%";"0%";"10%";"0%";1
"135";"CINA1B";"85%";"80%";"25%";"27.5%";"25%";11
"136";"CINA1B";"10%";"0%";"97.5%";"10%";"97.5%";40
"137";"CINA1B";"7.5%";"15%";"0%";"2.5%";"0%";1
"138";"CINA1B";"7.5%";"15%";"0%";"12.5%";"0%";1
"139";"CINA1B";"47.5%";"42.5%";"35%";"7.5%";"35%";15
"140";"CINA1B";"0%";"0%";"0%";"15%";"0%";1
"141";"CINA1B";"10%";"10%";"52.5%";"10%";"52.5%";22
"142";"CINA1B";"47.5%";"42.5%";"35%";"7.5%";"35%";15
"143";"CINA1B";"5%";"10%";"0%";"20%";"0%";1
"144";"CINA1B";"47.5%";"42.5%";"35%";"10%";"35%";15
"145";"CINA1B";"12.5%";"15%";"55%";"10%";"55%";23
"146";"CINA1B";"2.5%";"0%";"72.5%";"10%";"72.5%";30
"147";"CINA1B";"10%";"10%";"52.5%";"7.5%";"52.5%";22
"148";"CINA1B";"85%";"80%";"25%";"37.5%";"25%";11
"149";"CINA1B";"90%";"80%";"52.5%";"7.5%";"52.5%";22
"150";"CINA1B";"92.5%";"80%";"75%";"32.5%";"75%";31
"151";"CINA1B";"97.5%";"100%";"20%";"57.5%";"20%";9
"152";"CINA1B";"75%";"80%";"0%";"7.5%";"0%";1
"153";"CINA1B";"30%";"15%";"92.5%";"7.5%";"92.5%";38
"154";"CINA1B";"75%";"80%";"0%";"32.5%";"0%";1
"155";"CINA1B";"90%";"80%";"52.5%";"7.5%";"52.5%";22
"156";"CINA1B";"10%";"10%";"52.5%";"20%";"52.5%";22
"157";"CINA1B";"7.5%";"0%";"97.5%";"2.5%";"97.5%";40
"158";"CINA1B";"85%";"80%";"25%";"35%";"25%";11
"159";"CINA1B";"12.5%";"15%";"55%";"20%";"55%";23
"160";"CINA1B";"20%";"10%";"82.5%";"25%";"82.5%";34
"161";"CINA1B";"47.5%";"42.5%";"35%";"32.5%";"35%";15
"162";"CINA1B";"2.5%";"0%";"72.5%";"22.5%";"72.5%";30
"163";"CINA1B";"12.5%";"10%";"77.5%";"12.5%";"77.5%";32
"164";"CINA1B";"60%";"42.5%";"65%";"10%";"65%";27
"165";"CINA1B";"10%";"10%";"52.5%";"37.5%";"52.5%";22
"166";"CINA1B";"25%";"35%";"45%";"17.5%";"45%";19
"167";"CINA1B";"60%";"42.5%";"65%";"2.5%";"65%";27
"168";"CINA1B";"25%";"15%";"82.5%";"12.5%";"82.5%";34
"169";"CINA1B";"92.5%";"80%";"75%";"30%";"75%";31
"170";"CINA1B";"7.5%";"0%";"97.5%";"10%";"97.5%";40
"171";"CINA1B";"75%";"42.5%";"87.5%";"17.5%";"87.5%";36
