"X_BI","X_CAWT","X_FORM","X_HYD","MSP10_SP","MSP12_SP","MSP15_SP","MSP18_SP","MSP19_SP","MSP20_SP","MSP24_SP","MSP33_SP","MSP3_SP","MSP9_SP","Root.Barn","SOWT","Miniacina_miniacea_.R.","Miniacina_sp_.A.","Miniacina_sp_.J.","Parasmittina_margaritata","MSP12_BRYO","MSP14_BRYO","Smittoidea_cautela","Watersipora_subtorquata","Smittipora_harmeriana","Disporella_novaehollandiae","MSP5_BRYO","Crisia_elongata","Tubulipora_sp.","BIOFR","BIOFV","CYANOB","MSP10_ASCC","MSP10_ASCS","MSP11_ASCS","MSP15_ASCC","MSP16_ASCC","MSP1_ASCC","MSP1_ASCS","MSP22_ASCC","MSP24_ASCC","MSP2_ASCC","MSP2_ASCS","MSP3_ASCS","MSP4_ASCC","MSP5_ASCC","MSP5_ASCS","MSP6_ASCC","MSP6_ASCS","MSP8_ASCC","MSP9_ASCC","MSP9_ASCS","NR","OROS","X_BRUP","CCA","GRUP","RDUP"
0,8.108,0,2.703,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0,5.405,0,0,0,0,0,0,0,0,0,2.703,0,0,2.703,0,0,0,0,0,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.837,16.216,0,18.918,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,7.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,2.5,0,0,32.5,0,0,10,0,0
0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,2,0,0,0,0,0,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,14,0,0
0,22.449,0,2.041,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0,12.245,0,0,0,0,0,0,0,8.163,0,0,14.286,4.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.286,0,0,18.367,0,0
0,12.821,0,17.949,0,0,0,0,0,0,0,0,0,0,0,0,2.564,0,0,0,0,0,0,0,0,0,0,0,0,2.564,5.128,2.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.256,30.769,0,15.385,0,0
0,0,0,5.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,2.778,0,2.778,11.111,0,0,0,0,0,0,2.778,0,2.778,0,0,0,0,0,0,0,0,0,0,13.889,0,0,36.111,0,0,19.444,0,0
0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,18,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0
0,56.251,0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,0,0,0,0,0,0,0,4.167,0,0,8.333,0,2.083,0,0,0,0,0,0,2.083,0,0,0,0,0,0,0,0,0,0,4.167,0,0,6.25,0,0,10.417,0,0
0,10.256,0,2.564,0,0,0,0,0,0,0,0,0,0,0,0,2.564,0,0,0,0,0,0,0,0,0,12.821,0,0,0,0,10.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.205,17.949,0,7.692,0,0
0,12.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,12.121,0,0,12.121,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,42.425,0,0,12.121,0,0
